"ID","SHIPNAME","SHIPTYPE","LONGITUDE","LATITUDE","SPEED","EQUIPMENTID"
1754619,"闽东渔65012","",118.12758333333333,22.861888888888892,3.9,"962425"
1754620,"中昌358","",117.87866666666666,38.32944444444445,0,"963982"
1754621,"闽东渔64727","",117.31533333333334,23.056555555555555,3.5,"964029"
1754627,"闽东渔65007","",117.36488888888888,23.57875,0.1,"963717"
1754628,"闽东渔64824","",117.44186111111112,23.00286111111111,3.7,"963684"
1754630,"闽霞渔01506","",123.00450000000001,28.30102777777778,0.4,"945267"
1754632,"闽霞渔运02599","",122.59494444444444,30.94852777777778,9.9,"962894"
1754633,"闽东渔64902","",117.48683333333334,22.968944444444443,3.5,"963726"
852800,"浙普渔01639","",122.20194444444445,29.697305555555555,0.3,"360774"
1753820,"闽霞渔运01162","",120.45233333333333,26.109750000000002,0.3,"962333"
1753870,"闽东渔69626","",117.4295,23.59725,0,"962898"
1753871,"闽东渔65053","",117.46305555555556,22.83008333333333,4.2,"962479"
1753872,"闽莆渔50881","",119.25622222222222,24.862694444444447,1,"945300"
1753873,"浙普渔64228","",124.73741666666668,30.563694444444444,5.6,"945177"
1753904,"闽东渔64396（已卖龙海）","",117.36658333333332,23.57322222222222,0,"962491"
1753905,"闽东渔64670","",117.47913888888888,22.966611111111114,3.7,"962421"
1753969,"闽东渔65061","",117.3345,23.121555555555556,3.9,"964161"
1753971,"闽东渔65035","",117.43380555555557,23.05477777777778,3.2,"963751"
1753972,"闽东渔62208","",118.48805555555556,22.874,1.1,"945284"
1753973,"闽霞渔01987","",123.09755555555556,28.330444444444442,7,"963297"
1753974,"闽莆渔05998","",119.26455555555556,25.17811111111111,0,"963216"
1753975,"闽东渔64950","",117.13730555555557,22.597666666666665,3.3,"963916"
1753976,"闽莆渔21888","",119.26433333333334,25.179083333333335,0.1,"963284"
1753978,"闽东渔61618","",117.51547222222223,23.750194444444446,0,"963490"
1754023,"闽霞渔01919","",120.877,26.947,1.4,"962878"
1754024,"闽东渔64729","",117.6291111111111,23.179750000000002,3.7,"962456"
1754181,"闽东渔64008","",117.42844444444445,23.59797222222222,0.1,"964196"
1754182,"闽东渔64691","",117.33725,22.96572222222222,4.1,"962406"
1754183,"闽霞渔01058","",121.10572222222223,27.233944444444443,6.2,"962713"
1754808,"嵊渔养70601","",122.772024,30.718662,0,"850256553305149"
1754809,"嵊渔养70600","",122.771564,30.723613,0,"850256553305199"
1754810,"嵊渔养70577","",122.771081,30.723001,0,"850256553305155"
1754811,"嵊渔养70575","",122.772151,30.718919,0,"850256553305200"
1754813,"嵊渔养70580","",122.772169,30.719729,0,"850256553305158"
1754815,"嵊渔养70598","",122.771653,30.718975,0,"850256553305156"
1754816,"嵊渔养70574","",122.771958,30.719866,0,"850256553305143"
